time_stamp,predicted_expression
2024-09-21 21:00:13,Sad
2024-09-21 21:00:14,Neutral
2024-09-21 21:00:15,Happy
2024-09-21 21:00:16,Sad
2024-09-21 21:00:17,Sad
2024-09-21 21:00:18,Sad
2024-09-21 21:00:19,Sad
2024-09-21 21:00:20,Surprise
2024-09-21 21:00:21,Fear
2024-09-21 21:00:22,Neutral
2024-09-21 21:00:23,Sad
2024-09-21 21:00:24,Surprise
2024-09-21 21:00:25,Sad
2024-09-21 21:00:26,Happy
2024-09-21 21:00:27,Neutral
2024-09-21 21:00:28,Anger
2024-09-21 21:00:29,Anger
2024-09-21 21:00:30,Surprise
2024-09-21 21:00:31,Surprise
2024-09-21 21:00:32,Happy
2024-09-21 21:00:33,Happy
2024-09-21 21:00:34,Happy
2024-09-21 21:00:35,Happy
2024-09-21 21:00:36,Happy
2024-09-21 21:00:37,Surprise
2024-09-21 21:00:38,Surprise
2024-09-21 21:00:39,Happy
2024-09-21 21:00:40,Anger
2024-09-21 21:00:41,Anger
2024-09-21 21:00:42,Surprise
2024-09-21 21:00:43,Surprise
2024-09-21 21:00:44,Anger
